Actual,Lower,Upper,Inside?
0.0087676473034692,-0.03631043561420858,0.04549053438625753,YES
-0.0012473907279866,-0.036366016945461634,0.05590942629299581,YES
0.0006604768849507,-0.01590844371042669,0.046838262459854486,YES
-0.0013680536120755,-0.019237653693775537,0.04115440078697622,YES
0.0065573457544287,-0.013201759538273218,0.039611750623802545,YES
-0.0028096049048969,-0.009505839428524378,0.03688833989820898,YES
-0.0034340754096676,-0.00795745231829107,0.030161627909759882,YES
-0.0088682273228345,-0.00808008142433584,0.028004677376369837,NO
0.0042101739412401,-0.010207460603336695,0.028714188716034296,YES
-0.0029351823779982,-0.015339234253982904,0.03188723453007162,YES
-0.0124691803378693,-0.009594039401630762,0.028605443766931894,NO
-0.0014955647434917,-0.012702898463825586,0.02733509742341459,YES
-0.0014773427748562,-0.020147742113689783,0.03215517976007879,YES
-0.0089592205494931,-0.01884302624187887,0.03341481216869772,YES
0.0065485676346082,-0.015115202746014002,0.03073568024359167,YES
0.0052466588480091,-0.022269429049114588,0.028151826343159082,YES
-0.0051498252538292,-0.023980097255329492,0.024274313232521418,YES
-0.005566773640794,-0.03402176626644552,0.012162843129257563,YES
0.0040900049616161,-0.024598197421650293,0.021426854065279367,YES
-0.0127137736646451,-0.01796928175411642,0.025641584179024103,YES
0.0090830588186072,-0.01390244939051092,0.022033789536575678,YES
0.0111818707596305,-0.02005536981544912,0.03104521461449087,YES
-0.0116280257061476,-0.016033024868587854,0.01838065811119497,YES
-0.0021137093124677,-0.019160510382274988,0.008316063663582209,YES
-0.0002856708874028,-0.017542065462688806,0.0234111448439163,YES
-0.0106809307765333,-0.011748136362652185,0.0237117161663574,YES
-0.0135825623229214,-0.02261020370445669,0.024002326062540415,YES
-0.0011185324376894,-0.029812754473308924,0.03259650745115698,YES
-0.0033527151631265,-0.02176675327740133,0.0458405924650234,YES
0.0027585814066317,-0.012480364522556665,0.04700737573824346,YES
-0.0071688079331164,-0.01903228589020193,0.03540060423932493,YES
0.0238694641112378,-0.027841435155491236,0.035135404548267725,YES
0.0131612958673623,-0.02430029340706289,0.03592071064434469,YES
-0.0011312238174179,-0.027018116197208765,0.014841490766624811,YES
0.0033230854378061,-0.023329467854122522,0.00961225607119024,YES
-0.0148610290544929,-0.01153367885075033,0.019832768818954828,NO
0.0090720019405352,-0.01642208673677862,0.009725199422459009,YES
0.0060068200049485,-0.019750164231876734,0.025518753907303217,YES
0.0074600111445999,-0.013439135036091211,0.0202138213130039,YES
0.0004210968146538,-0.011698418638328913,0.01998268940172613,YES
0.0098478255628851,-0.013288491747002008,0.013098718008617762,YES
-0.0012384293961259,-0.017802031120876673,0.010368534705261591,YES
-0.0023827399277279,-0.027190924963573816,0.017929696819404962,YES
-0.00036350862139,-0.02122053631267965,0.02282973506174505,YES
0.0012901233029631,-0.023510040125469568,0.01179782428465307,YES
-0.0037781963796591,-0.021467567762951258,0.01085747160635412,YES
0.0089455478085889,-0.02322408684215963,0.00886821129045904,NO
-0.0040394689217332,-0.025934473952869776,0.01187736295781553,YES
-0.0134687300477334,-0.028896884402851465,0.02557404466591299,YES
-0.0056356998120069,-0.017208502969364527,0.017594677737573984,YES
-0.010213311567061,-0.018942238173107508,0.024819949051956537,YES
-0.0152055691508056,-0.018969015559772852,0.02368960656843603,YES
0.0070354729729729,-0.01940794416389883,0.029003871014932993,YES
-0.0010861087115143,-0.028177471241573694,0.04415340848885,YES
0.0009503186263191,-0.01525604852161825,0.04081508272014082,YES
0.002661079652128,-0.01966188975296438,0.03500678517542303,YES
-0.0070758479358679,-0.01805947848282278,0.029519387862305048,YES
-4.212721278373799e-06,-0.022084446034054163,0.02701459207258642,YES
